rank,r1_quota,r1_institute,r1_course,r1_remarks,r2_quota,r2_institute,r2_course,r2_remarks,r3_quota,r3_institute,r3_course,r3_alloted_category,r3_candidate_category,r3_option_no,r3_remarks
6828,8157,All India,COIMBATORE MEDICAL COLLEGE,M.S. (GENERAL SURGERY),Reported,All India,Government Kilpauk Medical College,M.S. (GENERAL SURGERY),Reported,All India,"Governm ent Mohan Kumara mangala m Medical College, Salem,G overnme nt Mohan Kumara mangala m Medical College, Majeera Kollappat ti, Steel Plant Road, Salem., Tamil Nadu, 636030",M.S. (GENERA L SURGER Y),OBC,OBC,113
6829,8158,All India,"Govt. Medical College, Jammu",M.S. (GENERAL SURGERY),Reported,-,-,-,-,-,-,-,-,-,-
6830,8159,-,-,-,-,All India,Calcutta School Of Tropical Medicine,M.D. (TROPICAL MEDICINE),Not Reported,-,-,-,-,-,-
6831,8160,All India,"GOVERNMENT VILLUPURAM MEDICAL COLLEGE, VILLUPURAM",M.D. (Emergency and Critical Care)/M.D. (Emergency Medicine),Reported,All India,"Government Mohan Kumaramangala m Medical College, Salem",M.D. (Emergency and Critical Care)/M.D. (Emergency Medicine),Reported,All India,"STANLE Y MEDICA L COLLEG E,STANL EY MEDICA L COLLEG E NO.1, OLD JAIL ROAD, CHENNA I-600001, Tamil Nadu, 600001",M.D. (Emergen cy and Critical Care)/M.D . (Emergen cy Medicine),Open,General,30
6832,8161,DNB Quota,"Baby Memorial Hospital,",(NBEMS) Emergency Medicine,Not Reported,-,-,-,-,-,-,-,-,-,-
6833,8163,-,-,-,-,-,-,-,-,All India,"PATNA MEDICA L COLLEG E, PATNA, PATNA MEDICA L COLLEG E, PATNA, Bihar, 800004",M.D. (PAEDIAT RICS),OBC,OBC,31
6834,8165,All India,Rangaraya Medical College,M.S. (ORTHOPAEDIC S),Reported,-,-,-,-,-,-,-,-,-,-
6835,8168,-,-,-,-,All India,Government medical college patiala.,M.S. (ORTHOPAEDIC S),Reported,-,-,-,-,-,-
6836,8169,All India,"Mahatma Gandhi Memorial Medical College, Jamshedpur",M.S. (GENERAL SURGERY),Not Reported,-,-,-,-,All India,"Mahatma Gandhi Institute of Medical Sciences , Wardha, Mahatma Gandhi Institute of Medical Sciences , Sevagra m, Wardha, Maharas htra, 442102",M.S. (GENERA L SURGER Y),Open,General,107
6837,8170,DNB Quota,"Muthoot Health Care,",(NBEMS) GENERAL MEDICINE,Reported,DNB Quota,Daya General Hospital,(NBEMS) GENERAL MEDICINE,Reported,-,-,-,-,-,-
6838,8175,DNB Quota,"Bhagwan Mahavir Cancer Hospital and Research Centre,",(NBEMS- DIPLOMA) RADIO- DIAGNOSIS,Not Reported,DNB Quota,"General Hospital,",(NBEMS- DIPLOMA) RADIO- DIAGNOSIS,Reported,-,-,-,-,-,-
6839,8176,DNB Quota,"Kerala Institute of Medical Sciences,",(NBEMS) Respiratory Medicine,Reported,DNB Quota,"IQRAA International Hospital and Research Centre,",(NBEMS) Emergency Medicine,Reported,-,-,-,-,-,-
6840,8179,DNB Quota,"Shree Markendey Solapur Sahakari Rugnalya and Research Centre,",(NBEMS) GENERAL MEDICINE,Not Reported,DNB Quota,"ESIC Model Hospital and Occupational Disease Centre,",(NBEMS) GENERAL MEDICINE,Not Reported,-,-,-,-,-,-
6841,8181,DNB Quota,"OZONE Institute of Medical Sciences,Telang ana",(NBEMS) GENERAL MEDICINE,Reported,-,-,-,-,DNB Quota,"Mahavir Hospital and Researc h Centre, ,10 1 1 Bhagwan Mahavir Marg A C Guards Hyderab ad 500004, Telangan a, 500004",(NBEMS) GENERAL MEDICIN E,Open,EWS,23
6842,8182,All India,"Employees' State Insurance Corporation Medical College & Hospital, Gulbarga",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),Not Reported,All India,"Gulbarga Institute Of Medical Sciences, Kalaburagi",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),Reported,-,-,-,-,-,-
6843,8183,DNB Quota,"GG Hospital, Murinjapalam Junction,",(NBEMS) GENERAL MEDICINE,Reported,DNB Quota,"Apollo Adlux Hospital ( A Unit of Adlux Medicity and Convention Centre Private Limited), Kerala",(NBEMS) GENERAL MEDICINE,Reported,-,-,-,-,-,-
6844,8184,All India,"GOVT. MEDICAL COLLEGE, AMRITSAR",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),Not Reported,-,-,-,-,All India,"S.V. Medical College, Tirupathi ,S.V. Medical College, Tirupathi, Andhra Pradesh, 517507",M.D. (Obst. and Gynae)/M S (Obstetric s and Gynaecolo gy),OBC,OBC,25
6845,8185,DNB Quota,"Fortis Escorts Hospital,",(NBEMS) GENERAL MEDICINE,Not Reported,-,-,-,-,DNB Quota,"Fortis Escorts Hospital,, Fortis escorts hospital ,neelam bata road, faridabad , Haryana, 121002",(NBEMS) GENERAL MEDICIN E,Open,General,25
6846,8186,-,-,-,-,DNB Quota,"Kaveri Medical Centre and Hospital,",(NBEMS) GENERAL MEDICINE,Reported,DNB Quota,"Dr. Ramesh Cardiac and Multi Specialit y Hospital,, Collector office road, Nagaram palem, Guntur , AP, Andhra Pradesh, 522004",(NBEMS) GENERAL MEDICIN E,Open,EWS,44
6847,8187,All India,"DR. SHANKARRAO CHAVAN GOVERNMENT MEDICAL COLLEGE, NANDED",M.S. (GENERAL SURGERY),Not Reported,-,-,-,-,-,-,-,-,-,-
6848,8188,All India,"K.A.P.Viswanath am Government Medical College, Tiruchirapalli",M.S. (ORTHOPAEDIC S),Seat Surrende red,All India,Tirunelveli Medical College,M.S. (ORTHOPAEDIC S),Reported,-,-,-,-,-,-
6849,8189,DNB Quota,"Sparsh Hospital, Karnataka",(NBEMS) GENERAL MEDICINE,Reported,DNB Quota,"Manipal Hospital, Karnataka",(NBEMS) GENERAL MEDICINE,Reported,DNB Quota,"Manipal Hospital Whitefiel d,,ITPL Main Rd, KIADB Export Promotio n Industrial Area, Krishnar ajapura, Bengalur u, Karnatak a, 560066",(NBEMS) GENERAL MEDICIN E,Open,OBC,53
